cdt,dotx,key_press_list,traial_start,transient_counts
8.96449708939,25.0,"[1.2960669994354248, 0.8195450305938721, 1.2514269351959229, 0.7877111434936523, 2.1107571125030518, 0.8037109375, 0.7314460277557373, 1.1638329029083252]",1526029171.66,16
11.3788859844,0.0,"[1.9793851375579834, 0.8196499347686768, 1.9474060535430908, 0.8917458057403564, 1.4678831100463867, 0.9716579914093018, 0.9319849014282227, 1.352349042892456, 1.0168240070343018]",1526029244.95,18
7.9056699276,12.5,"[0.9076499938964844, 1.0596389770507812, 1.1637790203094482, 1.7319998741149902, 1.3076341152191162, 0.8676419258117676, 0.867326021194458]",1526029310.9,14
10.7014930248,3.125,"[1.235572099685669, 1.5877230167388916, 1.1476449966430664, 0.9633300304412842, 1.3716330528259277, 1.1000919342041016, 2.024034023284912, 0.7798559665679932, 0.4916079044342041]",1526029378.73,18
10.8160398006,6.25,"[1.0354769229888916, 1.6876459121704102, 0.947685956954956, 0.8995301723480225, 0.9471189975738525, 0.9556088447570801, 1.5121428966522217, 1.5634679794311523, 1.267362117767334]",1526029445.56,18
8.69943284988,0.0,"[1.2753980159759521, 0.7233099937438965, 1.067756175994873, 0.6790869235992432, 0.8756301403045654, 0.4674038887023926, 0.596168041229248, 0.7639679908752441, 0.46753478050231934, 0.8512248992919922, 0.9319519996643066]",1526029511.71,22
10.1610579491,12.5,"[1.7950530052185059, 0.9875891208648682, 1.1639089584350586, 1.8355519771575928, 0.9639489650726318, 0.7633719444274902, 2.6516339778900146]",1526029580.35,14
12.3584606647,3.125,"[0.5718400478363037, 1.5875959396362305, 1.186790943145752, 1.8997879028320312, 0.7716500759124756, 1.1474568843841553, 0.9554040431976318, 2.0755908489227295, 0.7712540626525879, 1.391089916229248]",1526029648.54,19
10.8656549454,6.25,"[0.8116459846496582, 3.0429458618164062, 0.7636508941650391, 0.771263837814331, 1.411708116531372, 1.291651964187622, 2.0356690883636475, 0.737119197845459]",1526029715.28,15
5.99789404869,25.0,"[1.467353105545044, 0.8673391342163086, 0.9881210327148438, 0.7318868637084961, 0.8278908729553223, 1.1153030395507812]",1526029781.44,12
11.661429882,0.0,"[0.9073948860168457, 3.123293161392212, 0.8194329738616943, 0.9397709369659424, 1.1850001811981201, 0.7161128520965576, 0.9799628257751465, 0.6597180366516113, 0.46754002571105957, 0.7155270576477051, 1.147676944732666]",1526029848.63,22
11.2252559662,6.25,"[1.275702953338623, 2.235548973083496, 1.907655954360962, 0.8403980731964111, 1.9471988677978516, 1.4836201667785645, 0.915565013885498, 0.6195659637451172]",1526029914.29,16
9.62791705132,3.125,"[0.875756025314331, 1.3318629264831543, 0.7401330471038818, 0.6034069061279297, 0.9392540454864502, 1.2115399837493896, 0.9156270027160645, 1.3316738605499268, 0.7956411838531494, 0.6277601718902588, 0.2552618980407715]",1526029981.2,21
8.55028891563,25.0,"[1.7554559707641602, 1.0277948379516602, 1.52280592918396, 1.5874650478363037, 0.44365406036376953, 1.176805019378662, 1.0363080501556396]",1526030048.59,14
8.93543767929,12.5,"[0.9956068992614746, 1.5207791328430176, 1.5876169204711914, 0.8035750389099121, 1.3075339794158936, 0.5397717952728271, 0.5126500129699707, 1.1555979251861572, 0.5123059749603271]",1526030116.04,18
