dotx,transient_counts,cdt,traial_start,key_press_list
6.25,10,3.6696925163269043,1541139921.852284,"[1.334651231765747, 0.8118209838867188, 0.6435940265655518, 0.3878512382507324, 0.4917750358581543]"
12.5,6,1.3357150554656982,1541139995.6288981,"[0.6808078289031982, 0.37154316902160645, 0.28336405754089355]"
0.0,8,4.774340391159058,1541140121.9294631,"[2.003636360168457, 0.24336981773376465, 1.6198241710662842, 0.9075100421905518]"
25.0,2,0.2195301055908203,1541140213.507351,[0.2195301055908203]
3.125,12,4.130642414093018,1541140287.048094,"[1.4116630554199219, 0.32360386848449707, 0.531761884689331, 0.8399209976196289, 0.38008880615234375, 0.6436038017272949]"
3.125,16,4.121842861175537,1541140359.3286028,"[0.6720969676971436, 0.3237459659576416, 0.45964503288269043, 0.6513791084289551, 0.876194953918457, 0.5238029956817627, 0.45947980880737305, 0.15549802780151367]"
25.0,2,0.5233399868011475,1541140432.593466,[0.5233399868011475]
6.25,8,2.9984421730041504,1541140513.988001,"[1.6353299617767334, 0.8836021423339844, 0.1955411434173584, 0.2839689254760742]"
0.0,12,3.5548486709594727,1541140706.378774,"[0.7073321342468262, 0.6197209358215332, 0.8402760028839111, 0.3401508331298828, 0.33968305587768555, 0.7076857089996338]"
12.5,4,1.5998070240020752,1541140772.771178,"[1.2682030200958252, 0.33160400390625]"
3.125,9,3.9518203735351562,1541140844.90132,"[0.7235152721405029, 0.9155833721160889, 1.1769800186157227, 0.5797057151794434, 0.5560359954833984]"
25.0,2,0.18793511390686035,1541140913.4765189,[0.18793511390686035]
12.5,0,0.0,1541140997.150998,[]
0.0,11,3.349864959716797,1541141060.981148,"[0.17161011695861816, 0.3714919090270996, 0.9796559810638428, 0.6601688861846924, 0.8754880428314209, 0.29145002365112305]"
6.25,6,2.7217350006103516,1541141163.795381,"[0.7473728656768799, 1.163233995437622, 0.8111281394958496]"
