cdt,dotx,key_press_list,traial_start,transient_counts
5.77140307426,3.125,"[1.088602066040039, 1.6043479442596436, 0.4913971424102783, 1.0754539966583252, 0.8119368553161621, 0.6996650695800781]",1524817089.06,12
4.05410599709,6.25,"[0.48367786407470703, 0.3556540012359619, 1.059587001800537, 0.6435360908508301, 0.7239611148834229, 0.7876899242401123]",1524817219.55,12
2.72593188286,12.5,"[0.7714009284973145, 0.5152149200439453, 0.7156350612640381, 0.7236809730529785]",1524817306.69,8
5.53156232834,0.0,"[0.8277060985565186, 1.4918849468231201, 1.1156010627746582, 1.2753021717071533, 0.4118359088897705, 0.40923213958740234]",1524817399.29,11
1.02303385735,25.0,"[0.6035749912261963, 0.41945886611938477]",1524817499.36,4
6.44899177551,3.125,"[1.4593229293823242, 0.9315619468688965, 0.5153539180755615, 0.7237110137939453, 1.051476001739502, 0.8488080501556396, 0.9187579154968262]",1524817794.62,13
4.93064951897,0.0,"[0.3957197666168213, 0.37177300453186035, 1.1636428833007812, 0.5968880653381348, 0.8112590312957764, 0.5316059589385986, 0.6721458435058594, 0.3876149654388428]",1524817964.54,16
2.53120732307,12.5,"[0.8483231067657471, 0.5042581558227539, 0.37131309509277344, 0.3396329879760742, 0.4676799774169922]",1524818076.44,10
1.25120830536,25.0,"[0.4916341304779053, 0.36389613151550293, 0.3956780433654785]",1524818197.89,6
3.46504545212,6.25,"[0.34766316413879395, 0.7396490573883057, 0.47556614875793457, 1.0186691284179688, 0.883497953414917]",1524818273.38,10
2.5470328331,12.5,"[0.7398369312286377, 1.163625955581665, 0.6435699462890625]",1524818367.08,6
0.275498151779,25.0,[0.2754981517791748],1524818573.4,2
5.19308924675,3.125,"[0.8508708477020264, 1.1633610725402832, 1.475430965423584, 0.7714831829071045, 0.9319431781768799]",1524818641.21,10
6.28693223,0.0,"[1.0086750984191895, 1.0355749130249023, 0.8914830684661865, 1.3715839385986328, 1.9796152114868164]",1524818808.36,10
6.20357704163,6.25,"[1.0352940559387207, 1.9406239986419678, 0.819674015045166, 1.0157439708709717, 0.24367713928222656, 0.4758429527282715, 0.6727209091186523]",1524818914.85,14
