pix, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
0.0,0.0,18,9.205960273742676,1.0228844748602972,0.3819098479270537,"[1.1069297790527344, 1.227191686630249, 1.1069350242614746, 0.4830811023712158, 1.2512030601501465, 1.467101812362671, 1.4364259243011475, 0.31557393074035645, 0.8115179538726807]"
-9.0,-12.6,16,7.322448253631592,0.915306031703949,0.2741131440071703,"[0.5243501663208008, 1.0191419124603271, 1.11549711227417, 1.3154282569885254, 0.5228350162506104, 0.7156717777252197, 1.0072319507598877, 1.1022920608520508]"
-30.0,-42.0,16,8.307946920394897,1.0384933650493622,0.33088889033358304,"[0.5793740749359131, 1.3953838348388672, 1.1398382186889648, 1.2698259353637695, 1.3873670101165771, 1.1852450370788574, 0.49227309226989746, 0.8586397171020508]"
6.0,8.4,12,4.443986177444458,0.7406643629074097,0.15560659833157559,"[0.6907403469085693, 0.6112949848175049, 1.0435259342193604, 0.8115339279174805, 0.7155599594116211, 0.5713310241699219]"
18.0,25.2,16,5.388271331787109,0.6735339164733887,0.32513287785057027,"[0.419827938079834, 0.43548583984375, 1.2036819458007812, 1.2194571495056152, 0.7394299507141113, 0.46754932403564453, 0.4434540271759033, 0.4593851566314697]"
9.0,12.6,12,4.4295361042022705,0.738256017367045,0.11753798390721017,"[0.8275282382965088, 0.8193202018737793, 0.7652091979980469, 0.6437556743621826, 0.8502788543701172, 0.5234439373016357]"
-6.0,-8.4,16,5.036651372909546,0.6295814216136932,0.4004186962214825,"[0.17112183570861816, 0.6593081951141357, 0.5978050231933594, 0.25133395195007324, 0.570688009262085, 0.6517949104309082, 1.5870952606201172, 0.547504186630249]"
-18.0,-25.2,18,6.566011190414429,0.7295567989349365,0.3029402711579962,"[0.43547916412353516, 1.123434066772461, 0.14742279052734375, 1.0675151348114014, 0.8990309238433838, 0.8995530605316162, 0.6990108489990234, 0.8192522525787354, 0.4753129482269287]"
18.0,25.2,16,7.629477500915527,0.9536846876144409,0.24245638803419736,"[0.7642209529876709, 0.8120307922363281, 1.1870191097259521, 1.1166770458221436, 1.0271649360656738, 1.2914478778839111, 0.9394228458404541, 0.49149394035339355]"
6.0,8.4,16,5.468780040740967,0.6835975050926208,0.27006787042757446,"[0.3312051296234131, 0.7955551147460938, 0.6995890140533447, 0.25145411491394043, 0.7473828792572021, 0.5959930419921875, 1.1147828102111816, 0.9328179359436035]"
-30.0,-42.0,20,8.22663927078247,0.8226639270782471,0.3791994802512218,"[0.6273190975189209, 1.1311967372894287, 0.2992856502532959, 1.0434648990631104, 0.7072691917419434, 0.35538291931152344, 1.2357141971588135, 0.9868097305297852, 1.4366657733917236, 0.4035310745239258]"
9.0,12.6,16,7.061753511428833,0.8827191889286041,0.3506183858878873,"[0.5145218372344971, 0.7395381927490234, 1.4676978588104248, 0.6597437858581543, 1.1155810356140137, 1.34474778175354, 0.7074019908905029, 0.5125210285186768]"
0.0,0.0,12,3.5662920475006104,0.5943820079167684,0.28517170752882937,"[0.4432859420776367, 1.147264003753662, 0.5980720520019531, 0.19548416137695312, 0.5793850421905518, 0.6028008460998535]"
-6.0,-8.4,14,6.899852991104126,0.9856932844434466,0.39017592830363307,"[0.21125006675720215, 1.2439219951629639, 1.0754671096801758, 0.9156301021575928, 1.2700648307800293, 1.4678452014923096, 0.7156736850738525]"
-18.0,-25.2,18,7.67533278465271,0.8528147538503011,0.40385676453613967,"[0.5312111377716064, 1.1234543323516846, 1.211151123046875, 0.819223165512085, 0.672435998916626, 0.9391021728515625, 1.635319709777832, 0.5241799354553223, 0.2192552089691162]"
-9.0,-12.6,14,6.5056281089782715,0.929375444139753,0.3293211218509343,"[0.5233170986175537, 1.1864690780639648, 1.1473259925842285, 0.9954040050506592, 1.2696478366851807, 0.3398869037628174, 1.0435771942138672]"
9.0,12.6,18,4.223632097244263,0.46929245524936253,0.1363898193112455,"[0.522629976272583, 0.7399711608886719, 0.5713629722595215, 0.4676549434661865, 0.4674668312072754, 0.524174690246582, 0.3314697742462158, 0.27512073516845703, 0.32378101348876953]"
-30.0,-42.0,16,4.6045308113098145,0.5755663514137268,0.18284992667607736,"[0.5550987720489502, 0.5157098770141602, 0.4513411521911621, 0.3229210376739502, 0.8676369190216064, 0.5036399364471436, 0.5129363536834717, 0.8752467632293701]"
-9.0,-12.6,18,10.159706354141235,1.1288562615712483,0.4319009151268299,"[0.2914140224456787, 0.9477362632751465, 1.269845962524414, 1.0274879932403564, 1.8486807346343994, 1.6274733543395996, 0.7643671035766602, 1.2511348724365234, 1.131566047668457]"
-6.0,-8.4,24,10.980659484863281,0.9150549570719401,0.4298688455844882,"[0.49147915840148926, 1.1308391094207764, 1.243645191192627, 0.3715090751647949, 1.835235834121704, 1.4378979206085205, 0.5395913124084473, 0.67995285987854, 0.6808440685272217, 0.6822848320007324, 1.2274448871612549, 0.6599352359771729]"
6.0,8.4,18,8.928346633911133,0.9920385148790147,0.33288003264261884,"[1.1394901275634766, 0.659276008605957, 1.512620210647583, 0.698340892791748, 0.9714570045471191, 1.3530011177062988, 0.9629979133605957, 0.41953206062316895, 1.2116312980651855]"
-18.0,-25.2,20,8.185500860214233,0.8185500860214233,0.31243573267042535,"[0.26029396057128906, 0.563413143157959, 1.2032289505004883, 0.9389059543609619, 0.596419095993042, 0.7707428932189941, 0.8498828411102295, 1.4362549781799316, 0.7950499057769775, 0.7713091373443604]"
18.0,25.2,12,3.74898099899292,0.62483016649882,0.21067087892880695,"[0.8913578987121582, 0.9076499938964844, 0.5715482234954834, 0.5631890296936035, 0.492081880569458, 0.3231539726257324]"
0.0,0.0,19,7.191381216049194,0.7191381216049194,0.2626024780201214,"[0.31510090827941895, 0.6273939609527588, 0.6512980461120605, 0.503587007522583, 0.5794601440429688, 0.6272759437561035, 0.6719222068786621, 0.9388320446014404, 1.2744739055633545, 1.0020370483398438]"
