pix, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
-9.0,-12.6,10,25.448568105697632,5.089713621139526,4.093236805428176,"[5.275039911270142, 12.339085102081299, 0.14773297309875488, 2.4914650917053223, 5.195245027542114]"
18.0,25.2,12,7.202395439147949,1.2003992398579915,0.41736211670077134,"[1.101496696472168, 1.6892240047454834, 0.5040490627288818, 1.1766188144683838, 1.0074338912963867, 1.7235729694366455]"
-6.0,-8.4,6,25.680161952972412,8.560053984324137,0.6293790129566618,"[8.675108909606934, 7.738164901733398, 9.26688814163208]"
9.0,12.6,2,3.459245204925537,3.459245204925537,0.0,[3.459245204925537]
-30.0,-42.0,10,5.5271313190460205,1.105426263809204,0.45006748290245485,"[0.5228791236877441, 1.883289098739624, 0.8505020141601562, 1.1068670749664307, 1.1635940074920654]"
0.0,0.0,10,13.62602186203003,2.7252043724060058,1.3155450020669288,"[5.002809047698975, 2.651291847229004, 0.9716448783874512, 2.8770110607147217, 2.123265027999878]"
-18.0,-25.2,10,9.497812747955322,1.8995625495910644,1.4392387916631608,"[2.803317070007324, 2.5793001651763916, 3.7078351974487305, 0.3715221881866455, 0.03583812713623047]"
6.0,8.4,10,13.387485980987549,2.6774971961975096,1.7592027492826345,"[1.1474862098693848, 2.803342819213867, 3.49953293800354, 5.445659160614014, 0.49146485328674316]"
9.0,12.6,8,8.609259366989136,2.152314841747284,1.220186627546824,"[2.5553619861602783, 3.951531171798706, 1.3069300651550293, 0.7954361438751221]"
-30.0,-42.0,12,5.542454957962036,0.9237424929936727,0.32654757090949793,"[1.323702096939087, 0.523414134979248, 0.7717077732086182, 1.2747230529785156, 0.5473699569702148, 1.1015379428863525]"
6.0,8.4,4,9.293840885162354,4.646920442581177,1.612142562866211,"[6.259063005447388, 3.034777879714966]"
18.0,25.2,8,7.502758979797363,1.8756897449493408,0.42630170283217417,"[2.5302391052246094, 1.4377501010894775, 1.5633668899536133, 1.971402883529663]"
-6.0,-8.4,6,22.265880584716797,7.421960194905599,3.3235370694695754,"[9.266840934753418, 10.243335962295532, 2.7557036876678467]"
-9.0,-12.6,2,28.153575897216797,28.153575897216797,0.0,[28.153575897216797]
-18.0,-25.2,10,5.145411491394043,1.0290822982788086,0.43302726943956815,"[0.45082712173461914, 0.9389548301696777, 0.770942211151123, 1.715057134628296, 1.2696301937103271]"
0.0,0.0,6,27.36166763305664,9.120555877685547,4.1836115743514295,"[14.251280784606934, 4.003594875335693, 9.106791973114014]"
-9.0,-12.6,6,21.24164366722107,7.0805478890736895,2.351880200343275,"[9.939514875411987, 4.179078817367554, 7.123049974441528]"
18.0,25.2,8,8.780405044555664,2.195101261138916,2.0749581755709214,"[1.8102431297302246, 5.675400018692017, 0.9392149448394775, 0.3555469512939453]"
6.0,8.4,10,18.761342763900757,3.7522685527801514,2.54662712552743,"[6.047115802764893, 0.14920806884765625, 1.1869068145751953, 5.906780004501343, 5.47133207321167]"
-30.0,-42.0,6,5.281543970108032,1.7605146567026775,0.22106617185571814,"[1.6591627597808838, 1.555063247680664, 2.0673179626464844]"
9.0,12.6,8,7.277881622314453,1.8194704055786133,0.37667728945031875,"[2.0672168731689453, 2.2512409687042236, 1.690504789352417, 1.2689189910888672]"
0.0,0.0,6,24.950261116027832,8.316753705342611,4.286549105628773,"[6.6191442012786865, 4.125682830810547, 14.205434083938599]"
-6.0,-8.4,6,15.46768045425415,5.155893484751384,3.7692667002497293,"[1.4373838901519775, 10.3228018283844, 3.7074947357177734]"
-18.0,-25.2,4,8.710412979125977,4.355206489562988,1.384385585784912,"[2.970820903778076, 5.7395920753479]"
