pix, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
-18.0,-25.2,18,7.790146827697754,0.8655718697441949,0.3275236400087343,"[0.6423287391662598, 0.5962438583374023, 1.0277338027954102, 0.5311858654022217, 0.37955403327941895, 1.186612844467163, 1.0513489246368408, 1.4363679885864258, 0.9387707710266113]"
18.0,25.2,14,4.630463123321533,0.6614947319030762,0.23678347321463922,"[0.6801002025604248, 0.7714102268218994, 0.3314638137817383, 1.1014318466186523, 0.3953070640563965, 0.7316379547119141, 0.6191120147705078]"
9.0,12.6,16,4.50099515914917,0.5626243948936462,0.34169289549204235,"[0.09972000122070312, 0.6911790370941162, 1.185697078704834, 0.46746015548706055, 0.6715381145477295, 0.8504788875579834, 0.40344691276550293, 0.13147497177124023]"
-9.0,-12.6,16,10.227298259735107,1.2784122824668884,0.9089091983158789,"[0.32393312454223633, 0.4753580093383789, 1.1867218017578125, 1.5633840560913086, 0.6594369411468506, 3.323758125305176, 1.7874150276184082, 0.9072911739349365]"
6.0,8.4,14,4.886685609817505,0.6980979442596436,0.2771684792503559,"[0.195267915725708, 0.5554778575897217, 1.1070549488067627, 0.8273270130157471, 0.5144209861755371, 0.8913779258728027, 0.7957589626312256]"
-6.0,-8.4,18,8.996163368225098,0.9995737075805664,0.59064714063667,"[0.2674391269683838, 0.3233828544616699, 1.291717290878296, 1.707449197769165, 1.579455852508545, 0.8035199642181396, 1.163511037826538, 1.6877310276031494, 0.17195701599121094]"
-30.0,-42.0,16,4.658439874649048,0.582304984331131,0.27639149568926397,"[0.331787109375, 0.6106421947479248, 0.8988988399505615, 0.8032939434051514, 0.9792590141296387, 0.5634119510650635, 0.2274167537689209, 0.2437300682067871]"
0.0,0.0,16,11.79417371749878,1.4742717146873474,0.48950944587284,"[0.8992209434509277, 1.6673548221588135, 1.2520647048950195, 0.7950680255889893, 1.1864280700683594, 1.9424529075622559, 2.2786762714385986, 1.7729079723358154]"
6.0,8.4,14,5.302217960357666,0.7574597086225238,0.13398351649599063,"[0.6347739696502686, 0.6433327198028564, 0.8194711208343506, 0.963468074798584, 0.8273770809173584, 0.5631999969482422, 0.8505949974060059]"
-9.0,-12.6,18,12.509724855422974,1.3899694283803303,0.6879615135621757,"[0.31562304496765137, 0.7873032093048096, 1.1864979267120361, 1.6591596603393555, 1.1555211544036865, 2.427493095397949, 2.5472309589385986, 1.4353768825531006, 0.9955189228057861]"
-6.0,-8.4,14,7.517765760421753,1.0739665372031075,0.32905549996271155,"[0.6997809410095215, 0.698814868927002, 1.587622880935669, 0.7644929885864258, 1.3628509044647217, 1.1767940521240234, 1.2274091243743896]"
9.0,12.6,18,7.6000049114227295,0.844444990158081,0.2924781994307237,"[0.5713553428649902, 0.6596190929412842, 1.4754338264465332, 0.7643728256225586, 0.9875218868255615, 1.0994758605957031, 0.7956211566925049, 0.43503284454345703, 0.8115720748901367]"
-30.0,-42.0,16,5.107663631439209,0.6384579539299011,0.27170415015111987,"[0.6591801643371582, 0.25963377952575684, 1.1767628192901611, 0.6515781879425049, 0.7646567821502686, 0.7233879566192627, 0.5971260070800781, 0.27533793449401855]"
18.0,25.2,16,4.074803829193115,0.5093504786491394,0.26777913049162855,"[0.443493127822876, 0.14737582206726074, 0.4674549102783203, 0.5144562721252441, 0.6908249855041504, 0.11598992347717285, 0.747593879699707, 0.9476149082183838]"
0.0,0.0,16,8.04245138168335,1.0053064227104187,0.33606748602291536,"[0.7075340747833252, 1.0160491466522217, 1.2915079593658447, 0.38771820068359375, 1.4392659664154053, 1.3530950546264648, 0.8036320209503174, 1.0436489582061768]"
-18.0,-25.2,14,4.623459339141846,0.660494191305978,0.20278280006056856,"[0.3312201499938965, 0.4913818836212158, 0.7709388732910156, 0.6188161373138428, 0.6908631324768066, 1.0278511047363281, 0.6923880577087402]"
-18.0,-25.2,20,5.302203416824341,0.530220341682434,0.20700385772516958,"[0.18742775917053223, 0.459522008895874, 0.39554405212402344, 0.619135856628418, 0.6435246467590332, 0.7795419692993164, 0.22770309448242188, 0.491595983505249, 0.6593000888824463, 0.8389079570770264]"
-30.0,-42.0,14,4.480575799942017,0.6400822571345738,0.2682042480416514,"[0.2994120121002197, 0.5553863048553467, 1.0514061450958252, 0.9874491691589355, 0.7078351974487305, 0.38742899894714355, 0.49165797233581543]"
-9.0,-12.6,16,11.322621822357178,1.4153277277946472,0.642362322960349,"[0.4033529758453369, 1.419471263885498, 1.522597074508667, 0.883418083190918, 0.8110079765319824, 2.2996411323547363, 1.6990132331848145, 2.2841200828552246]"
0.0,0.0,18,9.709999799728394,1.0788888666364882,0.5654262005413198,"[0.4195430278778076, 0.8753728866577148, 1.2354469299316406, 1.2747077941894531, 2.0757908821105957, 0.5717840194702148, 1.2910962104797363, 1.698673963546753, 0.26758408546447754]"
-6.0,-8.4,20,9.329717874526978,0.9329717874526977,0.3988867231021323,"[0.8674459457397461, 0.9075791835784912, 0.19569802284240723, 1.4372048377990723, 1.35198974609375, 1.1237010955810547, 1.3154549598693848, 0.283527135848999, 0.987360954284668, 0.8597559928894043]"
6.0,8.4,20,7.090904712677002,0.7090904712677002,0.31735775011836476,"[0.2353358268737793, 1.2032899856567383, 1.1155200004577637, 0.6433689594268799, 0.6907992362976074, 0.6196398735046387, 1.1474969387054443, 0.4364190101623535, 0.5554230213165283, 0.44361186027526855]"
18.0,25.2,14,4.721320629119873,0.6744743755885533,0.21309085873868797,"[0.5143489837646484, 0.8834981918334961, 0.7655820846557617, 0.9548642635345459, 0.3955390453338623, 0.41165900230407715, 0.7958290576934814]"
9.0,12.6,12,4.354219198226929,0.7257031997044882,0.0834514270834243,"[0.6819789409637451, 0.6194310188293457, 0.8502440452575684, 0.7639110088348389, 0.7952470779418945, 0.6434071063995361]"
