pix, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
9.0,12.6,22,16.414895057678223,1.4922631870616565,0.9989929571930701,"[1.1867640018463135, 0.9317030906677246, 3.4185678958892822, 1.7234489917755127, 0.8035039901733398, 2.4757769107818604, 3.0288336277008057, 1.21150803565979, 0.16357088088989258, 0.8197710514068604, 0.6514465808868408]"
6.0,8.4,20,22.232494115829468,2.223249411582947,1.2866563380184495,"[2.1848649978637695, 2.891353130340576, 0.19504618644714355, 2.444674015045166, 2.923574924468994, 1.0186209678649902, 5.171522855758667, 1.9554622173309326, 2.3318140506744385, 1.11556077003479]"
-9.0,-12.6,24,17.483028650283813,1.4569190541903179,1.016883535679275,"[0.9953479766845703, 1.755115032196045, 1.483091115951538, 0.0515592098236084, 1.4032413959503174, 1.051692008972168, 3.7153308391571045, 2.1105289459228516, 0.1948859691619873, 1.9072561264038086, 2.555487871170044, 0.2594921588897705]"
-18.0,-25.2,22,17.653616666793823,1.604874242435802,0.9048829756608918,"[1.9467990398406982, 0.8114340305328369, 2.8991079330444336, 2.4463460445404053, 2.5633139610290527, 0.5958590507507324, 2.192683696746826, 0.043715715408325195, 1.0353620052337646, 2.2034902572631836, 0.9155049324035645]"
-6.0,-8.4,16,22.62346339225769,2.8279329240322113,2.2140556317257594,"[0.34708285331726074, 0.963690996170044, 2.3533308506011963, 3.131091833114624, 7.386902093887329, 4.571285009384155, 3.3226959705352783, 0.5473837852478027]"
18.0,25.2,24,16.681374073028564,1.3901145060857136,0.7630440430256681,"[1.5215089321136475, 0.3555610179901123, 2.331295967102051, 1.4119651317596436, 2.0272650718688965, 1.4834318161010742, 0.44359803199768066, 2.8768889904022217, 1.3873720169067383, 0.3232157230377197, 0.8598992824554443, 1.659372091293335]"
-30.0,-42.0,22,14.918420553207397,1.3562200502915815,0.8839574622316924,"[1.5640919208526611, 0.8913969993591309, 1.8828856945037842, 0.19579696655273438, 3.163270950317383, 0.39559078216552734, 1.9558708667755127, 0.05142021179199219, 1.1954970359802246, 1.7073590755462646, 1.9152400493621826]"
0.0,0.0,12,25.562968254089355,4.260494709014893,2.431449331333548,"[1.9233129024505615, 8.035334348678589, 3.5467240810394287, 4.130640983581543, 1.2196600437164307, 6.707295894622803]"
6.0,8.4,20,21.289523363113403,2.1289523363113405,1.3455358374563982,"[4.091320991516113, 4.835344076156616, 1.186486005783081, 2.3954951763153076, 2.4274439811706543, 0.5146708488464355, 0.7155570983886719, 1.7726190090179443, 2.283017158508301, 1.0675690174102783]"
-30.0,-42.0,12,7.444774627685547,1.2407957712809246,0.5939145389891268,"[1.3628458976745605, 0.41881489753723145, 2.1083030700683594, 1.2674438953399658, 1.7153990268707275, 0.5719678401947021]"
-18.0,-25.2,18,18.326147317886353,2.0362385908762612,0.5717033843308181,"[1.4668657779693604, 2.0833780765533447, 1.9714219570159912, 2.651268720626831, 2.1554007530212402, 1.6593499183654785, 1.2112290859222412, 3.2115330696105957, 1.9156999588012695]"
-9.0,-12.6,16,18.339144945144653,2.2923931181430817,1.7256055905814958,"[1.4594318866729736, 0.49143505096435547, 1.3155310153961182, 1.4115970134735107, 3.3954339027404785, 6.003518104553223, 0.8834607601165771, 3.378737211227417]"
