cdt,dotx,key_press_list,traial_start,transient_counts
2.80161619186,6.25,"[0.08027291297912598, 0.17169404029846191, 0.2436819076538086, 0.25154614448547363, 0.2997171878814697, 0.2677781581878662, 0.2759208679199219, 0.2837998867034912, 0.2358689308166504, 0.24385404586791992, 0.2196800708770752, 0.22780203819274902]",1526288691.16,24
3.42434763908,12.5,"[0.21179485321044922, 0.2596721649169922, 0.25171995162963867, 0.26767706871032715, 0.24379301071166992, 0.3563661575317383, 0.21980595588684082, 0.28373003005981445, 0.25933313369750977, 0.2596089839935303, 0.2435920238494873, 0.251453161239624, 0.31580114364624023]",1526288777.51,26
1.89686322212,25.0,"[0.19571399688720703, 0.24367213249206543, 0.19565916061401367, 0.21160387992858887, 0.19572901725769043, 0.195465087890625, 0.2196049690246582, 0.21954703330993652, 0.21986794471740723]",1526288852.23,18
2.73667550087,0.0,"[0.1958448886871338, 0.18746113777160645, 0.25179600715637207, 0.23545408248901367, 0.23585915565490723, 0.21977615356445312, 0.2197258472442627, 0.1960740089416504, 0.2195889949798584, 0.21199512481689453, 0.21182703971862793, 0.18771886825561523, 0.16355419158935547]",1526288918.02,26
2.74355578423,3.125,"[0.195756196975708, 0.19541716575622559, 0.2112879753112793, 0.1957859992980957, 0.22779107093811035, 0.19570398330688477, 0.17957401275634766, 0.21181321144104004, 0.25965189933776855, 0.2756311893463135, 0.18789386749267578, 0.19574713706970215, 0.2115020751953125]",1526289051.67,26
3.15708255768,12.5,"[0.21934294700622559, 0.21947789192199707, 0.22775697708129883, 0.21922707557678223, 0.18785595893859863, 0.18765497207641602, 0.2037198543548584, 0.21971893310546875, 0.5714359283447266, 0.5396339893341064, 0.36125802993774414]",1526289142.22,21
3.00265288353,0.0,"[0.2197120189666748, 0.3000671863555908, 0.24396204948425293, 0.275709867477417, 0.21974992752075195, 0.2038109302520752, 0.2198169231414795, 0.2446908950805664, 0.2116529941558838, 0.24381208419799805, 0.17975902557373047, 0.21988892555236816, 0.22002005577087402]",1526289246.35,26
1.51739168167,25.0,"[0.18753910064697266, 0.1956009864807129, 0.17163395881652832, 0.15552186965942383, 0.16386985778808594, 0.17202091217041016, 0.19553613662719727, 0.2756688594818115]",1526289334.25,16
2.83577060699,6.25,"[0.19571495056152344, 0.2273237705230713, 0.21967792510986328, 0.2197561264038086, 0.2118208408355713, 0.1955859661102295, 0.19604802131652832, 0.19555306434631348, 0.19587206840515137, 0.21161484718322754, 0.19578099250793457, 0.21972393989562988, 0.1879570484161377, 0.16334104537963867]",1526289436.7,28
2.5675573349,3.125,"[0.2039029598236084, 0.21169590950012207, 0.18764495849609375, 0.17946100234985352, 0.18772602081298828, 0.17176103591918945, 0.18796777725219727, 0.18762803077697754, 0.17183685302734375, 0.17119383811950684, 0.19544291496276855, 0.2996540069580078, 0.21164202690124512]",1526289515.85,26
2.5810918808,3.125,"[0.1639258861541748, 0.17961406707763672, 0.20409607887268066, 0.19556593894958496, 0.18800687789916992, 0.1958179473876953, 0.17183208465576172, 0.18768787384033203, 0.18782711029052734, 0.17192292213439941, 0.15572094917297363, 0.19566583633422852, 0.20372915267944336, 0.17967915534973145]",1526289630.79,28
1.13369894028,25.0,"[0.1874558925628662, 0.19585585594177246, 0.21978211402893066, 0.18769311904907227, 0.18737506866455078, 0.15553689002990723]",1526289815.12,12
2.9054889679,12.5,"[0.19521307945251465, 0.2438058853149414, 0.24379301071166992, 0.23569202423095703, 0.24367904663085938, 0.21993088722229004, 0.22772789001464844, 0.22768592834472656, 0.21173501014709473, 0.23516321182250977, 0.20403790473937988, 0.19535493850708008, 0.22167015075683594]",1526289904.68,26
2.9339222908,6.25,"[0.19601702690124512, 0.24379992485046387, 0.23560404777526855, 0.2516629695892334, 0.22028899192810059, 0.22013306617736816, 0.219681978225708, 0.3638951778411865, 0.21171903610229492, 0.2277998924255371, 0.31569600105285645, 0.22762417793273926]",1526290170.04,24
2.37279391289,0.0,"[0.17975115776062012, 0.1799459457397461, 0.13996291160583496, 0.16385602951049805, 0.17151093482971191, 0.1716899871826172, 0.1879591941833496, 0.17164993286132812, 0.19571685791015625, 0.1638469696044922, 0.17165803909301758, 0.15587782859802246, 0.14774703979492188, 0.17162108421325684]",1526290253.81,28
