dotx,transient_counts,cdt,traial_start,key_press_list
25.0,2,0.8394899368286133,1541833019.9610891,[0.8394899368286133]
0.0,14,4.3774800300598145,1541833089.125847,"[0.5041100978851318, 0.8475949764251709, 0.21166276931762695, 1.499621868133545, 0.43586206436157227, 0.5552661418914795, 0.3233621120452881]"
12.5,8,2.846284866333008,1541833183.00524,"[0.32355308532714844, 1.4753289222717285, 0.7317459583282471, 0.3156569004058838]"
6.25,14,3.772627115249634,1541833265.751177,"[0.9390609264373779, 0.15582489967346191, 0.3076791763305664, 1.0153930187225342, 0.6036109924316406, 0.5557799339294434, 0.19527816772460938]"
3.125,14,5.110934257507324,1541833408.4366798,"[0.9876201152801514, 1.11568284034729, 0.4436218738555908, 0.5474791526794434, 0.3715858459472656, 1.0170083045959473, 0.6279361248016357]"
25.0,4,0.3114140033721924,1541833485.9977238,"[0.16377806663513184, 0.14763593673706055]"
6.25,8,3.638524055480957,1541833560.642456,"[1.274841070175171, 0.8995940685272217, 0.02647089958190918, 1.4376180171966553]"
12.5,4,0.6942989826202393,1541833626.854066,"[0.5144658088684082, 0.17983317375183105]"
0.0,10,4.7206525802612305,1541833718.629758,"[0.8271999359130859, 1.2114617824554443, 1.1067628860473633, 0.7795798778533936, 0.7956480979919434]"
3.125,10,3.7372422218322754,1541833825.205924,"[0.6041359901428223, 1.6354420185089111, 0.46691393852233887, 0.41136622428894043, 0.6193840503692627]"
3.125,10,3.5688095092773438,1541834067.278794,"[1.8352878093719482, 0.2759730815887451, 0.443220853805542, 0.6827867031097412, 0.3315410614013672]"
0.0,16,3.8844382762908936,1541834190.212605,"[0.21131014823913574, 0.5638329982757568, 0.41171908378601074, 0.3876950740814209, 0.6435990333557129, 0.6352407932281494, 0.3153810501098633, 0.7156600952148438]"
25.0,0,0.0,1541834320.564099,[]
12.5,4,2.505311965942383,1541834417.4276679,"[0.8273839950561523, 1.6779279708862305]"
6.25,6,3.126689910888672,1541834485.2231932,"[0.6193289756774902, 0.8478851318359375, 1.6594758033752441]"
