cdt,dotx,key_press_list,traial_start,transient_counts
3.87974786758,3.125,"[0.2793102264404297, 0.139725923538208, 0.32349610328674316, 0.09978699684143066, 0.23560285568237305, 0.27564501762390137, 0.7369670867919922, 0.6996729373931885, 0.2999448776245117, 0.5716149806976318, 0.21798086166381836]",1525946312.72,21
0.291445016861,25.0,[0.2914450168609619],1525946383.18,2
5.36061930656,6.25,"[0.37995409965515137, 0.6437830924987793, 1.0596001148223877, 0.3557088375091553, 0.18789911270141602, 0.5558381080627441, 0.9954178333282471, 0.323469877243042, 0.027335166931152344, 0.2756950855255127, 0.5559179782867432]",1525946454.51,22
6.76109266281,12.5,"[0.24396681785583496, 0.49169206619262695, 1.6274669170379639, 0.6276059150695801, 0.8919711112976074, 2.0596468448638916, 0.1233220100402832, 0.17169785499572754, 0.5237231254577637]",1525946525.98,18
6.51702809334,0.0,"[0.15550589561462402, 1.1875391006469727, 0.4358501434326172, 0.32355594635009766, 0.78780198097229, 0.5475032329559326, 0.787830114364624, 0.3236088752746582, 1.4119079113006592, 0.5559248924255371]",1525946596.68,20
2.11079692841,25.0,"[0.6519079208374023, 0.4431149959564209, 1.0157740116119385]",1525946664.52,6
6.46190905571,3.125,"[1.3155441284179688, 0.7796890735626221, 0.39569997787475586, 1.019373893737793, 0.8756639957427979, 1.016266107559204, 1.0596718788146973]",1525946733.46,14
6.83658218384,6.25,"[1.8034310340881348, 0.9396650791168213, 0.7636330127716064, 0.4599299430847168, 0.25969386100769043, 0.24382615089416504, 0.37156200408935547, 0.29961705207824707, 0.7396948337554932, 0.9555292129516602]",1525946801.62,20
5.81463360786,0.0,"[1.5396599769592285, 0.4197211265563965, 0.5958728790283203, 0.5963208675384521, 1.4997119903564453, 0.49160289764404297, 0.6717438697814941]",1525946875.65,14
4.28802013397,12.5,"[0.27556610107421875, 1.2118890285491943, 0.18767905235290527, 1.9406700134277344, 0.6722159385681152]",1525946946.36,10
0.655112028122,25.0,"[0.2435619831085205, 0.41155004501342773]",1525947014.2,4
4.82401132584,6.25,"[0.46706199645996094, 0.46772217750549316, 0.4678950309753418, 0.2994561195373535, 0.10764908790588379, 0.5155529975891113, 1.275804042816162, 0.11578202247619629, 0.1236109733581543, 0.3798398971557617, 0.6036369800567627]",1525947088.83,22
2.51111507416,12.5,"[0.42725610733032227, 0.3635590076446533, 0.2679281234741211, 0.23567891120910645, 0.9327559471130371, 0.2839369773864746]",1525947170.24,12
5.83555674553,3.125,"[0.14779281616210938, 1.2356688976287842, 0.1476120948791504, 0.47557497024536133, 1.7716829776763916, 0.5719029903411865, 0.36339497566223145, 0.4277210235595703, 0.3880031108856201, 0.30620288848876953]",1525947240.28,19
8.30014204979,0.0,"[0.3955049514770508, 0.34778404235839844, 0.4521498680114746, 0.4678499698638916, 1.0438790321350098, 1.8480589389801025, 1.3454840183258057, 0.6516871452331543, 1.747744083404541]",1525947315.84,18
