cdt,dotx,key_press_list,traial_start,transient_counts
1.7055208683,0.0,[1.7055208683013916],1526304349.39,2
0.310357093811,25.0,[0.31035709381103516],1526304419.61,1
0.0,12.5,[],1526304484.78,0
4.53851103783,6.25,"[1.8590068817138672, 1.4598851203918457, 1.2196190357208252]",1526304569.21,6
3.15856218338,3.125,"[1.251594066619873, 1.906968116760254]",1526304639.55,4
0.0,25.0,[],1526304706.16,0
4.76752185822,0.0,"[0.8497529029846191, 0.7156200408935547, 1.0594298839569092, 1.62752103805542, 0.5151979923248291]",1526304789.35,10
1.2916238308,3.125,[1.291623830795288],1526304855.01,2
0.732012987137,12.5,[0.7320129871368408],1526304919.87,2
2.3199429512,6.25,"[1.219316005706787, 1.1006269454956055]",1526304984.96,4
4.34192895889,3.125,"[1.2354190349578857, 1.1874098777770996, 0.9636390209197998, 0.9554610252380371]",1526305050.41,8
1.77921581268,12.5,[1.7792158126831055],1526305115.97,2
4.19923377037,0.0,"[0.7628779411315918, 1.3449878692626953, 0.5963709354400635, 1.1636829376220703, 0.3313140869140625]",1526305181.38,10
2.82316422462,6.25,"[1.6116821765899658, 1.211482048034668]",1526305246.65,4
1.65888786316,25.0,"[0.39580392837524414, 1.0515789985656738, 0.21150493621826172]",1526305311.55,6
