size, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
0.0,0.0,18,8.95723819732666,0.9952486885918511,0.21039653895266572,"[0.6436290740966797, 1.0172531604766846, 0.9334659576416016, 1.3454020023345947, 0.9075829982757568, 1.2033801078796387, 0.8274431228637695, 0.859583854675293, 1.2194979190826416]"
-9.0,-12.6,18,5.672401189804077,0.6302667988671197,0.20216627589934802,"[0.7314403057098389, 0.37160396575927734, 0.7643671035766602, 0.4831981658935547, 0.7708048820495605, 0.6907868385314941, 0.9493680000305176, 0.27555298805236816, 0.6352789402008057]"
-9.0,-12.6,16,6.207172870635986,0.7758966088294983,0.21226041669198445,"[1.1078929901123047, 0.9873058795928955, 0.9956400394439697, 0.6430630683898926, 0.5968499183654785, 0.7652249336242676, 0.6275491714477539, 0.48364686965942383]"
0.0,0.0,20,10.315507411956787,1.0315507411956788,0.40200036124481514,"[0.3635373115539551, 0.41141605377197266, 0.7960052490234375, 1.6905219554901123, 1.3793017864227295, 1.155517816543579, 1.363044023513794, 0.9956121444702148, 1.2273859977722168, 0.9331650733947754]"
-9.0,-12.6,18,3.8257980346679688,0.42508867051866317,0.11305071350977422,"[0.29119205474853516, 0.25163817405700684, 0.5138020515441895, 0.603050947189331, 0.2918820381164551, 0.45157384872436523, 0.47558093070983887, 0.5033748149871826, 0.44370317459106445]"
0.0,0.0,20,7.47249174118042,0.747249174118042,0.26844819055669533,"[0.29132080078125, 0.571051836013794, 0.5140049457550049, 0.9876222610473633, 1.2192049026489258, 0.7796981334686279, 0.8997118473052979, 0.891014814376831, 0.8672933578491211, 0.4515688419342041]"
-9.0,-12.6,18,5.684042692184448,0.6315602991316054,0.2643115346152412,"[0.5391507148742676, 1.0074570178985596, 0.7876880168914795, 0.43541383743286133, 0.4517507553100586, 0.963346004486084, 0.5239791870117188, 0.8197720050811768, 0.1554851531982422]"
0.0,0.0,14,5.684019327163696,0.8120027610233852,0.23279971171899302,"[0.475355863571167, 0.8275251388549805, 1.2431731224060059, 0.9793229103088379, 0.6274271011352539, 0.6833860874176025, 0.8478291034698486]"
0.0,0.0,24,7.857319116592407,0.6547765930493673,0.34201590293987405,"[0.3474609851837158, 0.7951748371124268, 1.1473069190979004, 1.3874950408935547, 0.23557114601135254, 0.8836159706115723, 0.4194009304046631, 0.4755692481994629, 0.6351571083068848, 0.7955300807952881, 0.2995738983154297, 0.43546295166015625]"
-9.0,-12.6,16,5.081735134124756,0.6352168917655945,0.15456467185859568,"[0.7647829055786133, 0.8393688201904297, 0.35521483421325684, 0.7392311096191406, 0.7478268146514893, 0.539409875869751, 0.6042778491973877, 0.4916229248046875]"
0.0,0.0,20,8.970710515975952,0.8970710515975953,0.301657714847359,"[0.2758169174194336, 0.5475451946258545, 1.1556761264801025, 0.6796417236328125, 1.0159378051757812, 1.2759408950805664, 0.7953388690948486, 0.9633862972259521, 1.1859419345855713, 1.0754847526550293]"
-9.0,-12.6,16,5.401294231414795,0.6751617789268494,0.26223670168113705,"[0.27532505989074707, 0.5230088233947754, 0.6826210021972656, 0.9635169506072998, 0.8915917873382568, 1.0179109573364258, 0.7156178951263428, 0.33170175552368164]"
-9.0,-12.6,18,6.356990575790405,0.706332286198934,0.24406671113996906,"[0.7075848579406738, 1.0352802276611328, 0.7871119976043701, 1.0988292694091797, 0.602492094039917, 0.45162320137023926, 0.8274939060211182, 0.5148329734802246, 0.3317420482635498]"
0.0,0.0,22,9.289991617202759,0.844544692472978,0.4100083886764521,"[0.22728824615478516, 0.8112382888793945, 1.0520591735839844, 1.0434489250183105, 1.2701849937438965, 1.7149782180786133, 0.5634620189666748, 0.764793872833252, 0.9155840873718262, 0.6434378623962402, 0.28351593017578125]"
-9.0,-12.6,18,5.674323081970215,0.6304803424411349,0.23834262539449144,"[0.47524285316467285, 0.899432897567749, 0.8195550441741943, 0.7656116485595703, 0.9157149791717529, 0.5239439010620117, 0.627356767654419, 0.5236248970031738, 0.1238400936126709]"
0.0,0.0,22,10.884998798370361,0.9895453453063965,0.6149105941907176,"[0.33950281143188477, 0.40363478660583496, 0.20372414588928223, 1.2515902519226074, 0.25191473960876465, 1.163451910018921, 2.361971855163574, 1.1870241165161133, 1.3547172546386719, 1.1556880474090576, 1.2117788791656494]"
-9.0,-12.6,22,5.755839109420776,0.5232581008564342,0.17933465196869633,"[0.29937005043029785, 0.45994019508361816, 0.42798590660095215, 0.46756505966186523, 0.5140790939331055, 0.8031187057495117, 0.18779921531677246, 0.5129268169403076, 0.6829090118408203, 0.7648639678955078, 0.6352810859680176]"
0.0,0.0,20,8.74035930633545,0.8740359306335449,0.42793877393851953,"[0.6033840179443359, 0.4601898193359375, 0.31608009338378906, 1.2917368412017822, 0.6909401416778564, 0.7160892486572266, 0.44331908226013184, 1.4758119583129883, 1.3795711994171143, 1.363236904144287]"
