size, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
0.0,0.0,10,12.006361722946167,2.401272344589233,1.9170862729748284,"[3.6350650787353516, 5.41962194442749, 2.0511858463287354, 0.5128529071807861, 0.3876359462738037]"
-9.0,-12.6,6,7.551006555557251,2.5170021851857505,0.7429472256393895,"[1.5116138458251953, 3.2839908599853516, 2.755401849746704]"
-9.0,-12.6,10,4.771303653717041,0.9542607307434082,0.5503016947915881,"[0.09089183807373047, 0.6825549602508545, 0.9635779857635498, 1.6920368671417236, 1.3422420024871826]"
0.0,0.0,8,7.556643724441528,1.889160931110382,0.8521799388804508,"[1.5308127403259277, 1.5793979167938232, 1.1147739887237549, 3.3316590785980225]"
-9.0,-12.6,8,3.3430910110473633,0.8357727527618408,0.31428084816367413,"[0.9329929351806641, 1.1950500011444092, 0.8835339546203613, 0.3315141201019287]"
0.0,0.0,8,4.90689754486084,1.22672438621521,0.3060473463414432,"[1.352853775024414, 0.9870128631591797, 1.6674680709838867, 0.8995628356933594]"
0.0,0.0,8,6.788378000259399,1.6970945000648499,1.3488517300404572,"[1.203691005706787, 0.682293176651001, 0.8912298679351807, 4.011163949966431]"
-9.0,-12.6,2,1.3533010482788086,1.3533010482788086,0.0,[1.3533010482788086]
0.0,0.0,10,8.577110290527344,1.7154220581054687,0.764675429788088,"[1.8354120254516602, 1.7394382953643799, 1.9234108924865723, 2.7233710289001465, 0.35547804832458496]"
-9.0,-12.6,8,7.782448053359985,1.9456120133399963,0.6034180815028223,"[2.395076036453247, 1.6903879642486572, 1.0834980010986328, 2.6134860515594482]"
0.0,0.0,10,10.675201654434204,2.1350403308868406,1.1033757292559394,"[2.9314348697662354, 1.3314087390899658, 3.8194069862365723, 0.7656040191650391, 1.8273470401763916]"
-9.0,-12.6,6,4.457097291946411,1.4856990973154705,0.6582506980327312,"[1.6675240993499756, 2.185448169708252, 0.6041250228881836]"
0.0,0.0,12,9.018676042556763,1.5031126737594604,0.5794600896577424,"[1.7734599113464355, 1.9231579303741455, 1.2834792137145996, 2.371293067932129, 0.6509370803833008, 1.0163488388061523]"
-9.0,-12.6,8,9.525973081588745,2.3814932703971863,1.251534502304896,"[1.3232760429382324, 2.6755309104919434, 1.219710111618042, 4.307456016540527]"
0.0,0.0,12,9.01331639289856,1.5022193988164265,0.5520665485474596,"[1.483280897140503, 1.2992031574249268, 2.4276649951934814, 1.9796030521392822, 0.8592770099639893, 0.964287281036377]"
-9.0,-12.6,6,3.250450611114502,1.0834835370381672,0.3678955928503609,"[0.5633766651153564, 1.3552579879760742, 1.3318159580230713]"
-9.0,-12.6,6,2.8284199237823486,0.9428066412607828,0.5737171991019778,"[1.352442979812622, 1.3445160388946533, 0.13146090507507324]"
0.0,0.0,6,6.529281854629517,2.1764272848765054,0.8634449088418374,"[1.8911139965057373, 3.3473119735717773, 1.290855884552002]"
