pix, disparity,transient_counts,cdt,mdt,dtstd,key_press_list
12.0,16.8,10,17.66373348236084,3.532746696472168,3.2279158976538094,"[3.1866540908813477, 0.6194601058959961, 0.6193947792053223, 9.443228244781494, 3.7949962615966797]"
18.0,25.2,4,25.918675899505615,12.959337949752808,11.307268142700195,"[1.6520698070526123, 24.266606092453003]"
9.0,12.6,10,7.376375913619995,1.475275182723999,1.1638375157924206,"[0.27547478675842285, 0.483471155166626, 2.6986420154571533, 3.051187038421631, 0.8676009178161621]"
15.0,21.0,8,22.71007013320923,5.677517533302307,3.5526079696604764,"[4.179376840591431, 1.771785020828247, 5.347623109817505, 11.411285161972046]"
21.0,29.4,8,24.420571088790894,6.105142772197723,7.776684811959264,"[1.0435090065002441, 2.7473678588867188, 1.1069891452789307, 19.522705078125]"
6.0,8.4,4,1.8235399723052979,0.9117699861526489,0.6762069463729858,"[0.23556303977966309, 1.5879769325256348]"
3.0,4.2,2,0.8840711116790771,0.8840711116790771,0.0,[0.8840711116790771]
21.0,29.4,4,26.948975086212158,13.474487543106079,12.927277565002441,"[0.5472099781036377, 26.40176510810852]"
9.0,12.6,18,12.921077966690063,1.4356753296322293,0.8684439149561599,"[0.963690996170044, 2.3315370082855225, 0.93924880027771, 0.4916059970855713, 1.268615961074829, 3.4114749431610107, 0.6197469234466553, 1.5637562274932861, 1.3314011096954346]"
15.0,21.0,4,22.477679014205933,11.238839507102966,6.212177395820618,"[5.026662111282349, 17.451016902923584]"
18.0,25.2,4,24.981852769851685,12.490926384925842,8.655649304389954,"[3.8352770805358887, 21.146575689315796]"
6.0,8.4,6,4.488753795623779,1.4962512652079265,1.2937260012152416,"[0.8667960166931152, 0.32321882247924805, 3.298738956451416]"
3.0,4.2,4,0.944875955581665,0.4724379777908325,0.1249619722366333,"[0.5973999500274658, 0.3474760055541992]"
12.0,16.8,6,21.344550132751465,7.114850044250488,5.144284685088179,"[14.21285605430603, 4.947596073150635, 2.1840980052948]"
9.0,12.6,8,3.78973650932312,0.94743412733078,0.6580530198624311,"[0.6197118759155273, 0.48333191871643066, 0.6031270027160645, 2.0835657119750977]"
3.0,4.2,8,2.471099853515625,0.6177749633789062,0.49398959228591344,"[0.5137081146240234, 0.39572668075561523, 1.4376399517059326, 0.12402510643005371]"
6.0,8.4,14,3.1370468139648438,0.44814954485212055,0.23298706201774788,"[0.45145320892333984, 0.8674089908599854, 0.2435142993927002, 0.3797786235809326, 0.1639266014099121, 0.3313751220703125, 0.6995899677276611]"
12.0,16.8,4,21.573882818222046,10.786941409111023,2.792251706123352,"[7.994689702987671, 13.579193115234375]"
15.0,21.0,6,25.169491052627563,8.389830350875854,8.055028918810082,"[19.458698987960815, 0.5240130424499512, 5.186779022216797]"
18.0,25.2,5,24.66947889328003,8.223159631093344,8.500480855755692,"[0.5123200416564941, 4.091434955596924, 20.06572389602661]"
21.0,29.4,1,26.3015398979187,26.3015398979187,0.0,[26.3015398979187]

