cdt,dotx,key_press_list,traial_start,transient_counts
1.19275999069,25.0,[1.1927599906921387],1524212109.39,2
2.00280690193,6.25,[2.0028069019317627],1524212174.78,2
1.53741693497,0.0,"[0.7307820320129395, 0.54703688621521, 0.2595980167388916]",1524212242.2,6
3.11143898964,3.125,"[0.8748719692230225, 0.715080976486206, 0.7743480205535889, 0.7471380233764648]",1524212308.09,8
0.795392990112,12.5,[0.7953929901123047],1524212374.67,2
0.0,12.5,[],1524212440.35,0
1.29857110977,25.0,[1.2985711097717285],1524212506.23,2
0.939098834991,6.25,[0.9390988349914551],1524212572.49,2
0.0,0.0,[],1524212638.33,0
0.0,3.125,[],1524212704.02,0
0.619030952454,25.0,[0.6190309524536133],1524212770.09,2
1.84086084366,3.125,"[0.9873571395874023, 0.2828028202056885, 0.5707008838653564]",1524212836.07,6
1.14156103134,0.0,"[0.7147879600524902, 0.4267730712890625]",1524212915.64,4
3.46804594994,6.25,"[0.8830771446228027, 0.6190638542175293, 1.965904951095581]",1524212993.75,6
1.8702378273,12.5,"[0.933790922164917, 0.9364469051361084]",1524213066.29,4
